,titel,vorname,nachname,fraktion,id,ortszusatz,rolle,namenszusatz
11002190,Dr. ,Hermann Otto,Solms,FDP,11002190,,,
11003218,,Carsten,Schneider,SPD,11003218,(Erfurt),,
11004662,Dr. ,Bernd,Baumann,AfD,11004662,,,
11003790,,Jan,Korte,DIE LINKE,11003790,,,
11003541,,Michael,Grosse-Brömer,CDU/CSU,11003541,,,
11004023,Dr. ,Marco,Buschmann,FDP,11004023,,,
11003764,,Britta,Haßelmann,BÜNDNIS 90/DIE GRÜNEN,11003764,,,
11001074,,Volker,Kauder,CDU/CSU,11001074,,,
11001938,,Dr. Wolfgang,Schäuble,,11001938,,Präsident Dr. Wolfgang Schäuble,
11003124,Dr. ,Hans-Peter,Friedrich,CDU/CSU,11003124,(Hof),,
11003820,,Thomas,Oppermann,SPD,11003820,,,
11001235,,Wolfgang,Kubicki,FDP,11001235,,,
11003206,,Petra,Pau,DIE LINKE,11003206,,,
11003212,,Claudia,Roth,BÜNDNIS 90/DIE GRÜNEN,11003212,(Augsburg),,
11004092,Dr. ,Ursula,Leyen,,11004092,,Bundesministerin der Verteidigung,von der
11004226,,Wolfgang,Hellmich,SPD,11004226,,,
11004842,,Jan Ralf,Nolte,AfD,11004842,,,
11004798,,Alexander,Graf Lambsdorff,FDP,11004798,,,
11004361,Dr. ,Alexander S. ,Neu,DIE LINKE,11004361,,,
11004217,Dr. ,Tobias,Lindner,BÜNDNIS 90/DIE GRÜNEN,11004217,,,
11004050,,Jürgen,Hardt,CDU/CSU,11004050,,,
11004438,,Gabi,Weber,SPD,11004438,,,
11004018,Dr. ,Reinhard,Brandl,CDU/CSU,11004018,,,
11003755,,Sigmar,Gabriel,SPD,11003755,,,
11004781,,Norbert,Kleinwächter,AfD,11004781,,,
11003802,,Michael Georg,Link,FDP,11003802,(Heilbronn),,
11003746,,Sevim,Dağdelen,DIE LINKE,11003746,,,
11004106,,Agnieszka,Brugger,BÜNDNIS 90/DIE GRÜNEN,11004106,,,
11003821,,Henning,Otte,CDU/CSU,11003821,,,
11004724,Dr. ,Alexander,Gauland,AfD,11004724,,,
11003763,,Heike,Hänsel,DIE LINKE,11003763,,,
11003246,,Jürgen,Trittin,BÜNDNIS 90/DIE GRÜNEN,11003246,,,
11004048,,Florian,Hahn,CDU/CSU,11004048,,,
11003055,Dr. ,Ralf,Brauksiepe,CDU/CSU,11003055,,,
11003710,Dr. ,Bärbel,Kofler,SPD,11003710,,,
11004846,,Gerold,Otten,AfD,11004846,,,
11004906,Dr. ,Marie-Agnes,Strack-Zimmermann,FDP,11004906,,,
11004181,,Kathrin,Vogler,DIE LINKE,11004181,,,
11004066,,Uwe,Kekeritz,BÜNDNIS 90/DIE GRÜNEN,11004066,,,
11004357,,Elisabeth,Motschmann,CDU/CSU,11004357,,,
11004362,Dr. ,Andreas,Nick,CDU/CSU,11004362,,,
11003846,,Frank,Schwabe,SPD,11003846,,,
11004029,,Bijan,Djir-Sarai,FDP,11004029,,,
11004852,,Tobias,Pflüger,DIE LINKE,11004852,,,
11004145,Dr. ,Frithjof,Schmidt,BÜNDNIS 90/DIE GRÜNEN,11004145,,,
11004276,,Thorsten,Frei,CDU/CSU,11004276,,,
11004886,,Martin,Schulz,SPD,11004886,,,
11003608,Dr. ,Joachim,Pfeiffer,CDU/CSU,11003608,,,
11004695,,Tino,Chrupalla,AfD,11004695,,,
11004746,,Torsten,Herbst,FDP,11004746,,,
11003753,,Klaus,Ernst,DIE LINKE,11003753,,,
11004085,,Stephan,Kühn,BÜNDNIS 90/DIE GRÜNEN,11004085,(Dresden),,
11003796,,Andreas G. ,Lämmel,CDU/CSU,11003796,,,
11003896,Dr. ,Eva,Högl,,11003896,,Wehrbeauftragte des Deutschen Bundestages,
11004751,Dr. ,Heiko,Heßenkemper,AfD,11004751,,,
11004339,Dr. ,Andreas,Lenz,CDU/CSU,11004339,,,
11004318,,Thomas,Jurk,SPD,11004318,,,
11004398,,Jana,Schimke,CDU/CSU,11004398,,,
2837598228124174,,Peter,Altmaier,,2837598228124174,,Bundesminister der Finanzen,
11004932,Dr. ,Harald,Weyel,AfD,11004932,,,
11004705,,Christian,Dürr,FDP,11004705,,,
11004817,,Fabio,De Masi,DIE LINKE,11004817,,,
11004070,,Sven-Christian,Kindler,BÜNDNIS 90/DIE GRÜNEN,11004070,,,
11002738,Dr.  h. c. (Univ Kyiv),Hans,Michelbach,CDU/CSU,11002738,,,
11003196,,Andrea,Nahles,SPD,11003196,,,
11004669,,Marc,Bernhard,AfD,11004669,,,
11004864,,Bernd,Reuther,FDP,11004864,,,
11004080,,Jutta,Krellmann,DIE LINKE,11004080,,,
11003493,,Kerstin,Andreae,BÜNDNIS 90/DIE GRÜNEN,11003493,,,
11004264,,Hansjörg,Durz,CDU/CSU,11004264,,,
11004930,Dr. ,Alice,Weidel,AfD,11004930,,,
11003826,,Eckhardt,Rehberg,CDU/CSU,11003826,,,
11003545,,Bettina,Hagedorn,,11003545,,Parl. Staatssekretärin beim Bundesminister der Finanzen,
11003530,,Otto,Fricke,FDP,11003530,,,
11004060,,Andrej,Hunko,DIE LINKE,11004060,,,
11003889,,Manuel,Sarrazin,BÜNDNIS 90/DIE GRÜNEN,11003889,,,
11002280,,Michael,Stübgen,,11002280,,Parl. Staatssekretär bei der Bundesministerin für Ernährung und Landwirtschaft,
11004605,,Christian,Petry,SPD,11004605,,,
11004675,,Peter,Boehringer,AfD,11004675,,,
11004186,,Harald,Weinberg,DIE LINKE,11004186,,,
11004135,,Lothar,Riebsamen,CDU/CSU,11004135,,,
11003797,Dr. ,Karl,Lauterbach,SPD,11003797,,,
11004725,Dr. ,Axel,Gehrke,AfD,11004725,,,
11004003,,Christine,Aschenberg-Dugnus,FDP,11004003,,,
11004072,,Maria,Klein-Schmeink,BÜNDNIS 90/DIE GRÜNEN,11004072,,,
11004311,,Erich,Irlstorfer,CDU/CSU,11004311,,,
11003588,,Hilde,Mattheis,SPD,11003588,,,
11004139,,Erwin,Rüddel,CDU/CSU,11004139,,,
11004081,,Oliver,Krischer,BÜNDNIS 90/DIE GRÜNEN,11004081,,,
11004440,Dr. ,Anja,Weisgerber,CDU/CSU,11004440,,,
11002672,Dr. ,Barbara,Hendricks,SPD,11002672,,,
11004752,,Karsten,Hilse,AfD,11004752,,,
11004786,Dr. ,Lukas,Köhler,FDP,11004786,,,
11004672,,Lorenz Gösta,Beutin,DIE LINKE,11004672,,,
11003780,,Andreas,Jung,CDU/CSU,11003780,,,
11004442,,Bernd,Westphal,SPD,11004442,,,
11003732,,Niels,Annen,,11003732,,Staatsminister im Auswärtigen Amt,
11004807,,Rüdiger,Lucassen,AfD,11004807,,,
11004075,,Pascal,Kober,FDP,11004075,,,
11004022,,Christine,Buchholz,DIE LINKE,11004022,,,
11004843,,Ulrich,Oehme,AfD,11004843,,,
11004093,,Stefan,Liebich,DIE LINKE,11004093,,,
11003881,,Omid,Nouripour,BÜNDNIS 90/DIE GRÜNEN,11003881,,,
11002765,Dr. ,Norbert,Röttgen,CDU/CSU,11002765,,,
11003599,Dr. ,Rolf,Mützenich,SPD,11003599,,,
11004383,,Alexander,Radwan,CDU/CSU,11004383,,,
11004735,,Armin-Paulus,Hampel,AfD,11004735,,,
11004068,,Roderich,Kiesewetter,CDU/CSU,11004068,,,
11004296,,Gabriela,Heinrich,SPD,11004296,,,
11004182,Dr. ,Johann David,Wadephul,CDU/CSU,11004182,,,
11004291,,Sebastian,Hartmann,SPD,11004291,,,
11003589,,Stephan,Mayer,,11003589,,"Parl. Staatssekretär beim Bundesminister des Innern, für Bau und Heimat",
11004698,Dr. ,Gottfried,Curio,AfD,11004698,,,
11004175,,Stephan,Thomae,FDP,11004175,,,
11004837,,Zaklin,Nastic,DIE LINKE,11004837,,,
11004857,,Filiz,Polat,BÜNDNIS 90/DIE GRÜNEN,11004857,,,
11004056,,Ansgar,Heveling,CDU/CSU,11004056,,,
11004079,,Daniela,Kolbe,SPD,11004079,,,
11004049,Dr. ,Stephan,Harbarth,CDU/CSU,11004049,,,
11003782,,Josip,Juratovic,SPD,11003782,,,
11001023,,Ulla,Jelpke,DIE LINKE,11001023,,,
11004243,,Luise,Amtsberg,BÜNDNIS 90/DIE GRÜNEN,11004243,,,
11004688,Dr. ,Birke,Bull-Bischoff,DIE LINKE,11004688,,,
11004065,Dr. ,Stefan,Kaufmann,CDU/CSU,11004065,,,
11003211,Dr. ,Ernst Dieter,Rossmann,SPD,11003211,,,
11004722,Dr. ,Götz,Frömming,AfD,11004722,,,
11004910,,Katja,Suding,FDP,11004910,,,
11003756,,Kai,Gehring,BÜNDNIS 90/DIE GRÜNEN,11003756,,,
11004143,,Tankred,Schipanski,CDU/CSU,11004143,,,
11004267,,Saskia,Esken,SPD,11004267,,,
11004063,,Oliver,Kaczmarek,SPD,11004063,,,
11004256,Dr. ,Karl-Heinz,Brunner,SPD,11004256,,,
11004255,Dr. ,Franziska,Brantner,BÜNDNIS 90/DIE GRÜNEN,11004255,,,
11004036,,Ingo,Gädechens,CDU/CSU,11004036,,,
11004359,,Michelle,Müntefering,,11004359,,Staatsministerin im Auswärtigen Amt,
11004714,,Peter,Felser,AfD,11004714,,,
11004813,Dr. ,Birgit,Malsack-Winkemann,AfD,11004813,,,
11004759,,Matthias,Höhn,DIE LINKE,11004759,,,
11004900,,René,Springer,AfD,11004900,,,
11004826,,Siemtje,Möller,SPD,11004826,,,
11004777,,Jens,Kestner,AfD,11004777,,,
11004067,,Katja,Keul,BÜNDNIS 90/DIE GRÜNEN,11004067,,,
11004378,,Achim,Post,SPD,11004378,(Minden),,
11004152,,Detlef,Seif,CDU/CSU,11004152,,,
11004921,,Markus,Töns,SPD,11004921,,,
11004740,,Martin,Hebner,AfD,11004740,,,
11004272,Dr. ,Fritz,Felgentreu,SPD,11004272,,,
11004787,,Enrico,Komning,AfD,11004787,,,
11004763,,Reinhard,Houben,FDP,11004763,,,
11004103,,Thomas,Lutze,DIE LINKE,11004103,,,
11004830,,Claudia,Müller,BÜNDNIS 90/DIE GRÜNEN,11004830,,,
11004696,,Joana,Cotar,AfD,11004696,,,
11003865,,Elisabeth,Winkelmeier-Becker,,11003865,,Parl. Staatssekretärin beim Bundesminister für Wirtschaft und Energie,
11004270,Dr. ,Johannes,Fechner,SPD,11004270,,,
11004668,,Nicola,Beer,FDP,11004668,,,
11004703,,Anke,Domscheit-Berg,DIE LINKE,11004703,,,
11004138,,Tabea,Rößner,BÜNDNIS 90/DIE GRÜNEN,11004138,,,
11004061,,Thomas,Jarzombek,CDU/CSU,11004061,,,
11004603,Dr. ,Jens,Zimmermann,SPD,11004603,,,
11004304,,Alexander,Hoffmann,CDU/CSU,11004304,,,
11004678,,Stephan,Brandner,AfD,11004678,,,
11004851,Dr. ,Frauke,Petry,Fraktionslos,11004851,,,
11004114,,Niema,Movassat,DIE LINKE,11004114,,,
11004123,Dr. ,Konstantin,von Notz,BÜNDNIS 90/DIE GRÜNEN,11004123,,,
11004427,Dr. ,Volker,Ullrich,CDU/CSU,11004427,,,
11004057,,Manuel,Höferlin,FDP,11004057,,,
11003034,Dr. ,Dietmar,Bartsch,DIE LINKE,11003034,,,
11004098,Dr. ,Carsten,Linnemann,CDU/CSU,11004098,,,
11004392,,Bernd,Rützel,SPD,11004392,,,
11004791,,Steffen,Kotré,AfD,11004791,,,
11004914,,Michael,Theurer,FDP,11004914,,,
11004263,,Katharina,Dröge,BÜNDNIS 90/DIE GRÜNEN,11004263,,,
11004439,,Albert H. ,Weiler,CDU/CSU,11004439,,,
11004039,,Michael,Gerdes,SPD,11004039,,,
11003255,,Peter,Weiß,CDU/CSU,11003255,(Emmendingen),,
11004215,,Harald,Ebner,BÜNDNIS 90/DIE GRÜNEN,11004215,,,
11004269,,Hermann,Färber,CDU/CSU,11004269,,,
11003576,,Renate,Künast,BÜNDNIS 90/DIE GRÜNEN,11003576,,,
11004858,,Stephan,Protschka,AfD,11004858,,,
11004894,,Frank,Sitta,FDP,11004894,,,
11003853,Dr. ,Kirsten,Tackmann,DIE LINKE,11003853,,,
11003596,,Marlene,Mortler,CDU/CSU,11003596,,,
11004287,,Rita,Hagl-Kehl,,11004287,,Parl. Staatssekretärin bei der Bundesministerin der Justiz und für Verbraucherschutz,
11004105,Dr. ,Thomas,de Maizière,CDU/CSU,11004105,,,
11004441,,Marian,Wendt,CDU/CSU,11004441,,,
11004342,,Andrea,Lindholz,CDU/CSU,11004342,,,
11004748,,Lars,Herrmann,Fraktionslos,11004748,,,
11004907,,Friedrich,Straetmanns,DIE LINKE,11004907,,,
11004801,,Sven,Lehmann,BÜNDNIS 90/DIE GRÜNEN,11004801,,,
11004034,,Michael,Frieser,CDU/CSU,11004034,,,
11004905,,Beatrix,von Storch,AfD,11004905,,,
11004396,Dr. ,Nina,Scheer,SPD,11004396,,,
11004329,,Arno,Klare,SPD,11004329,,,
11004433,,Dirk,Vöpel,SPD,11004433,,,
11004010,,Peter,Beyer,CDU/CSU,11004010,,,
11001434,,Christoph,Matschie,SPD,11001434,,,
11004778,,Stefan,Keuter,AfD,11004778,,,
11004731,,Kay,Gottschalk,AfD,11004731,,,
11004164,,Sonja Amalie,Steffen,SPD,11004164,,,
11004796,,Konstantin,Kuhle,FDP,11004796,,,
11004088,,Caren,Lay,DIE LINKE,11004088,,,
11004259,Dr. ,Karamba,Diaby,SPD,11004259,,,
11004391,,Susann,Rüthrich,SPD,11004391,,,
11004305,Dr. ,Hendrik,Hoppenstedt,,11004305,,Staatsminister bei der Bundeskanzlerin,
11004863,,Roman Johannes,Reusch,AfD,11004863,,,
11004288,Dr. ,André,Hahn,DIE LINKE,11004288,,,
11003132,,Katrin,Göring-Eckardt,BÜNDNIS 90/DIE GRÜNEN,11003132,,,
11004100,Dr. ,Jan-Marco,Luczak,CDU/CSU,11004100,,,
11004248,Dr. ,Matthias,Bartke,SPD,11004248,,,
11004149,,Armin,Schuster,CDU/CSU,11004149,(Weil am Rhein),,
11004257,Dr. ,Lars,Castellucci,SPD,11004257,,,
11004908,,Benjamin,Strasser,FDP,11004908,,,
11004282,,Uli,Grötsch,SPD,11004282,,,
11003856,Dr. ,Florian,Toncar,FDP,11003856,,,
11004021,,Ralph,Brinkhaus,CDU/CSU,11004021,,,
11003157,,Johannes,Kahrs,SPD,11003157,,,
11003858,,Alexander,Ulrich,DIE LINKE,11003858,,,
11003837,Dr. ,Gerhard,Schick,BÜNDNIS 90/DIE GRÜNEN,11003837,,,
11004280,,Ursula,Groden-Kranich,CDU/CSU,11004280,,,
11003784,,Alois,Karl,CDU/CSU,11003784,,,
11004865,,Bernd,Riexinger,DIE LINKE,11004865,,,
11004192,Dr. ,Matthias,Zimmer,CDU/CSU,11004192,,,
11004856,,Jürgen,Pohl,AfD,11004856,,,
11004179,,Johannes,Vogel,FDP,11004179,(Olpe),,
11004117,,Beate,Müller-Gemmeke,BÜNDNIS 90/DIE GRÜNEN,11004117,,,
11004365,,Wilfried,Oellers,CDU/CSU,11004365,,,
11003440,,Kerstin,Griese,,11003440,,Parl. Staatssekretärin beim Bundesminister für Arbeit und Soziales,
11004127,,Lisa,Paus,BÜNDNIS 90/DIE GRÜNEN,11004127,,,
11004110,Dr. ,Mathias,Middelberg,CDU/CSU,11004110,,,
11003050,,Lothar,Binding,SPD,11003050,(Heidelberg),,
11004761,,Leif-Erik,Holm,AfD,11004761,,,
11004271,,Uwe,Feiler,CDU/CSU,11004271,,,
11004247,Dr. ,Katarina,Barley,,11004247,,Bundesministerin der Justiz und für Verbraucherschutz,
11004370,,Sylvia,Pantel,CDU/CSU,11004370,,,
11004764,,Johannes,Huber,AfD,11004764,,,
11004188,,Katrin,Werner,DIE LINKE,11004188,,,
11004652,,Grigorios,Aggelidis,FDP,11004652,,,
11004030,,Katja,Dörner,BÜNDNIS 90/DIE GRÜNEN,11004030,,,
11004859,,Martin,Reichardt,AfD,11004859,,,
11004771,,Elisabeth,Kaiser,SPD,11004771,,,
11004660,,Simone,Barrientos,DIE LINKE,11004660,,,
11004116,,Nadine,Schön,CDU/CSU,11004116,,,
11004753,,Nicole,Höchst,AfD,11004753,,,
11004150,,Stefan,Schwartze,SPD,11004150,,,
11004613,,Norbert,Müller,DIE LINKE,11004613,(Potsdam),,
11004773,Dr. ,Kirsten,Kappert-Gonther,BÜNDNIS 90/DIE GRÜNEN,11004773,,,
11004754,Dr. ,Gero Clemens,Hocker,FDP,11004754,,,
11003527,Dr. ,Maria,Flachsbarth,,11003527,,Parl. Staatssekretärin beim Bundesminister für wirtschaftliche Zusammenarbeit und Entwicklung,
11003638,,Jens,Spahn,,11003638,,Bundesminister für Gesundheit,
11003514,,Gitta,Connemann,CDU/CSU,11003514,,,
11004404,,Ursula,Schulte,SPD,11004404,,,
11004728,,Franziska,Gminder,AfD,11004728,,,
11004823,,Amira,Mohamed Ali,DIE LINKE,11004823,,,
11003772,Dr. ,Anton,Hofreiter,BÜNDNIS 90/DIE GRÜNEN,11003772,,,
11004033,Dr. ,Edgar,Franke,SPD,11004033,,,
11004384,,Alois,Rainer,CDU/CSU,11004384,,,
11004393,,Johann,Saathoff,SPD,11004393,,,
11004140,Dr. ,Stefan,Ruppert,FDP,11004140,,,
11003516,,Alexander,Dobrindt,CDU/CSU,11003516,,,
11004802,,Helge,Lindh,SPD,11004802,,,
11003573,,Gunther,Krichbaum,CDU/CSU,11003573,,,
11004881,,Johannes,Schraps,SPD,11004881,,,
11004302,Dr. ,Heribert,Hirte,CDU/CSU,11004302,,,
11004614,,Angelika,Glöckner,SPD,11004614,,,
11004349,,Matern,von Marschall,CDU/CSU,11004349,,,
11004789,,Carina,Konrad,FDP,11004789,,,
11004107,,Hans-Georg,von der Marwitz,CDU/CSU,11004107,,,
11004410,,Rainer,Spiering,SPD,11004410,,,
11004888,,Uwe,Schulz,AfD,11004888,,,
11004250,,Maik,Beermann,CDU/CSU,11004250,,,
11003639,,Christian Freiherr von,Stetten,CDU/CSU,11003639,,,Freiherr
11004328,,Cansel,Kiziltepe,SPD,11004328,,,
11004727,,Albrecht,Glaser,AfD,11004727,,,
11004659,,Lisa,Badum,BÜNDNIS 90/DIE GRÜNEN,11004659,,,
11003734,,Thomas,Bareiß,,11003734,,Parl. Staatssekretär beim Bundesminister für Wirtschaft und Energie,
11003847,,Rita,Schwarzelühr-Sutter,,11003847,,"Parl. Staatssekretärin bei der Bundesministerin für Umwelt, Naturschutz und nukleare Sicherheit",
11004792,Dr. ,Rainer,Kraft,AfD,11004792,,,
11004929,,Sandra,Weeser,FDP,11004929,,,
11004844,,Josephine,Ortleb,SPD,11004844,,,
11004111,,Cornelia,Möhring,DIE LINKE,11004111,,,
11004395,,Ulle,Schauws,BÜNDNIS 90/DIE GRÜNEN,11004395,,,
11003216,,Anita,Schäfer,CDU/CSU,11003216,(Saalstadt),,
11004336,Dr. ,Silke,Launert,CDU/CSU,11004336,,,
11004385,,Martina,Renner,DIE LINKE,11004385,,,
11004353,Dr. ,Irene,Mihalic,BÜNDNIS 90/DIE GRÜNEN,11004353,,,
11004710,Dr. ,Wiebke,Esdar,SPD,11004710,,,
11004690,,Karlheinz,Busen,FDP,11004690,,,
11004040,,Alois,Gerig,CDU/CSU,11004040,,,
11004355,,Susanne,Mittag,SPD,11004355,,,
11004707,,Thomas,Ehrhorn,AfD,11004707,,,
11003604,,Friedrich,Ostendorff,BÜNDNIS 90/DIE GRÜNEN,11003604,,,
11003832,,Johannes,Röring,CDU/CSU,11003832,,,
11004680,,Jürgen,Braun,AfD,11004680,,,
11004892,,Martin,Sichert,AfD,11004892,,,
11004099,,Burkhard,Lischka,SPD,11004099,,,
11004448,,Gülistan,Yüksel,SPD,11004448,,,
11004890,,Matthias,Seestern-Pauly,FDP,11004890,,,
11003861,,Marcus,Weinberg,CDU/CSU,11003861,(Hamburg),,
11003869,,Sabine,Zimmermann,DIE LINKE,11003869,(Zwickau),,
11003578,,Markus,Kurth,BÜNDNIS 90/DIE GRÜNEN,11003578,,,
11004389,Dr. ,Martin,Rosemann,SPD,11004389,,,
11004169,,Stephan,Stracke,CDU/CSU,11004169,,,
11004303,,Thomas,Hitschler,SPD,11004303,,,
11000365,Dr. ,Diether,Dehm,DIE LINKE,11000365,,,
11002716,Dr. Dr. h. c. ,Karl A. ,Lamers,CDU/CSU,11002716,,,
11004405,,Kordula,Schulz-Asche,BÜNDNIS 90/DIE GRÜNEN,11004405,,,
11004244,,Heike,Baehrens,SPD,11004244,,,
11004875,Dr. ,Robby,Schlund,AfD,11004875,,,
11004931,,Nicole,Westig,FDP,11004931,,,
11004454,,Pia,Zimmermann,DIE LINKE,11004454,,,
11004825,,Claudia,Moll,SPD,11004825,,,
999999986755,,François,de Rugy,,999999986755,,Präsident der Assemblée nationale,
11004097,,Christian,Lindner,FDP,11004097,,,
11004183,Dr. ,Sahra,Wagenknecht,DIE LINKE,11004183,,,
11002746,,Cem,Özdemir,BÜNDNIS 90/DIE GRÜNEN,11002746,,,
11003870,,Brigitte,Zypries,,11003870,,Bundesministerin für Wirtschaft und Energie,
11004732,,Timon,Gremmels,SPD,11004732,,,
11004824,,Falko,Mohrs,SPD,11004824,,,
11004819,,Pascal,Meiser,DIE LINKE,11004819,,,
11002733,Dr. ,Michael,Meister,,11002733,,Parl. Staatssekretär bei der Bundesministerin für Bildung und Forschung,
11003547,,Anja,Hajduk,BÜNDNIS 90/DIE GRÜNEN,11003547,,,
11004333,,Christian,Kühn,BÜNDNIS 90/DIE GRÜNEN,11004333,(Tübingen),,
11003628,Dr. ,Ole,Schröder,,11003628,,Parl. Staatssekretär beim Bundesminister des Innern,
11004757,Dr. ,Christoph,Hoffmann,FDP,11004757,,,
11003033,,Norbert,Barthle,,11003033,,Parl. Staatssekretär beim Bundesminister für wirtschaftliche Zusammenarbeit und Entwicklung,
11004850,,Tobias Matthias,Peterka,AfD,11004850,,,
11004902,,Bettina,Stark-Watzinger,FDP,11004902,,,
11003646,,Antje,Tillmann,CDU/CSU,11003646,,,
11003422,,Ingrid,Arndt-Brauer,SPD,11003422,,,
11004289,,Metin,Hakverdi,SPD,11004289,,,
11004832,,Sepp,Müller,CDU/CSU,11004832,,,
11004912,Dr. ,Hermann-Josef,Tebroke,CDU/CSU,11004912,,,
11004936,Dr. ,Christian,Wirth,AfD,11004936,,,
11004720,Dr. ,Anton,Friesen,AfD,11004720,,,
11004368,,Mahmut,Özdemir,SPD,11004368,(Duisburg),,
11004913,,Linda,Teuteberg,FDP,11004913,,,
11003714,,Monika,Lazar,BÜNDNIS 90/DIE GRÜNEN,11003714,,,
11004372,,Martin,Patzelt,CDU/CSU,11004372,,,
11004401,,Dagmar,Schmidt,SPD,11004401,(Wetzlar),,
11004937,,Uwe,Witt,AfD,11004937,,,
11004697,,Carl-Julius,Cronenberg,FDP,11004697,,,
11004822,,Mario,Mieruch,Fraktionslos,11004822,,,
11003556,,Gabriele,Hiller-Ohm,SPD,11003556,,,
11004795,,Michael,Kuffer,CDU/CSU,11004795,,,
11003786,,Katja,Kipping,DIE LINKE,11003786,,,
11002655,,Dagmar,Freitag,SPD,11002655,,,
11004692,,Petr,Bystron,AfD,11004692,,,
11004709,,Thomas,Erndl,CDU/CSU,11004709,,,
11004163,,Frank,Steffel,CDU/CSU,11004163,,,
11004853,,Stephan,Pilsinger,CDU/CSU,11004853,,,
11004055,,Rudolf,Henke,CDU/CSU,11004055,,,
11004876,Dr. ,Nils,Schmid,SPD,11004876,,,
11004694,Dr. ,Anna,Christmann,BÜNDNIS 90/DIE GRÜNEN,11004694,,,
11004073,,Axel,Knoerig,CDU/CSU,11004073,,,
11004772,,Uwe,Kamann,Fraktionslos,11004772,,,
11004790,,Elvan,Korkmaz-Emre,SPD,11004790,,,
11004012,,Matthias W. ,Birkwald,DIE LINKE,11004012,,,
11004261,,Sabine,Dittmar,SPD,11004261,,,
11004873,,Ulrike,Schielke-Ziesing,AfD,11004873,,,
11004815,,Till,Mansmann,FDP,11004815,,,
11004321,,Ralf,Kapschack,SPD,11004321,,,
11004334,Dr. ,Roy,Kühne,CDU/CSU,11004334,,,
11004816,Dr. ,Jürgen,Martens,FDP,11004816,,,
11004406,Dr. ,Klaus-Peter,Schulze,CDU/CSU,11004406,,,
11002720,,Steffi,Lemke,BÜNDNIS 90/DIE GRÜNEN,11002720,,,
11004681,,Silvia,Breher,CDU/CSU,11004681,,,
999190001,,Carsten,Träger,SPD,999190001,,,
11004880,,Jörg,Schneider,AfD,11004880,,,
11002812,,Max,Straubinger,CDU/CSU,11002812,,,
11004071,,Volkmar,Klein,CDU/CSU,11004071,,,
11004768,Dr. ,Marc,Jongen,AfD,11004768,,,
11004667,,Olaf,in der Beek,FDP,11004667,,,
11004717,,Brigitte,Freihold,DIE LINKE,11004717,,,
11004414,Dr. ,Wolfgang,Stefinger,CDU/CSU,11004414,,,
11002003,,Christian,Schmidt,CDU/CSU,11002003,(Fürth),,
11004101,,Kirsten,Lühmann,SPD,11004101,,,
11004898,,Detlev,Spangenberg,AfD,11004898,,,
11004159,,Judith,Skudelny,FDP,11004159,,,
11004134,,Ingrid,Remmers,DIE LINKE,11004134,,,
11004011,,Steffen,Bilger,,11004011,,Parl. Staatssekretär beim Bundesminister für Verkehr und digitale Infrastruktur,
11004363,,Ulli,Nissen,SPD,11004363,,,
11004262,,Michael,Donth,CDU/CSU,11004262,,,
11004366,,Florian,Oßner,CDU/CSU,11004366,,,
11004445,,Oliver,Wittke,,11004445,,Parl. Staatssekretär beim Bundesminister für Wirtschaft und Energie,
11004730,,Wilhelm,von Gottberg,AfD,11004730,,,
11004661,,Nicole,Bauer,FDP,11004661,,,
11003706,,Artur,Auernhammer,CDU/CSU,11003706,,,
11004650,Dr. ,Michael,von Abercron,CDU/CSU,11004650,,,
11003636,,Thomas,Silberhorn,,11003636,,Parl. Staatssekretär bei der Bundesministerin der Verteidigung,
11004784,,Daniela,Kluckert,FDP,11004784,,,
